nct,threadsGC,timeMinutes
14.672352075241184,19.525191895074528,90.00691398779551
8.001829997077518,12.837321162109436,144.74926317532857
24.0,8.0,64.41155505975088
24.0,23.99999999995358,64.2833345333735
23.995688795836475,15.912896463423394,64.96544837554296
24.0,24.0,64.81679391860962
23.992041892347736,8.17210672833578,65.4954240043958
23.99845669542885,18.669095042059123,64.97623992760977
23.99826736179031,12.773122921277016,64.34744063218434
23.969339364871097,23.976210777857638,63.775758655865985
23.999862992553222,23.96682558817785,65.30504924853643
23.992748890207736,12.73975438327015,65.15727208455404
